Deployment,datetime,C_DPM,C_DPH,Match,F_DPM,F_DPH,Filter 
5,08/01/2022 22:59,0,0,1,0,0,HM
5,08/01/2022 23:59,0,0,1,0,0,HM
5,09/01/2022 00:59,0,0,1,0,0,HM
5,09/01/2022 01:59,0,0,1,0,0,HM
5,09/01/2022 02:59,0,0,1,0,0,HM
5,09/01/2022 03:59,0,0,1,0,0,HM
5,09/01/2022 04:59,0,0,1,0,0,HM
5,09/01/2022 05:59,0,0,1,0,0,HM
5,09/01/2022 06:59,0,0,1,0,0,HM
5,09/01/2022 07:59,0,0,0,1,1,HM
5,09/01/2022 08:59,0,0,1,0,0,HM
5,09/01/2022 09:59,0,0,1,0,0,HM
5,09/01/2022 10:59,0,0,1,0,0,HM
5,09/01/2022 11:59,0,0,1,0,0,HM
5,09/01/2022 12:59,0,0,1,0,0,HM
5,09/01/2022 13:59,0,0,1,0,0,HM
5,09/01/2022 14:59,0,0,1,0,0,HM
5,09/01/2022 15:59,0,0,1,0,0,HM
5,09/01/2022 16:59,0,0,1,0,0,HM
5,09/01/2022 17:59,0,0,0,1,1,HM
5,09/01/2022 18:59,0,0,1,0,0,HM
5,09/01/2022 19:59,0,0,1,0,0,HM
5,09/01/2022 20:59,0,0,1,0,0,HM
5,09/01/2022 21:59,0,0,0,2,1,HM
5,09/01/2022 22:59,0,0,1,0,0,HM
5,09/01/2022 23:59,0,0,1,0,0,HM
5,10/01/2022 00:59,0,0,1,0,0,HM
5,10/01/2022 01:59,0,0,1,0,0,HM
5,10/01/2022 02:59,0,0,1,0,0,HM
5,10/01/2022 03:59,0,0,1,0,0,HM
5,10/01/2022 04:59,0,0,1,0,0,HM
5,10/01/2022 05:59,0,0,1,0,0,HM
5,10/01/2022 06:59,0,0,1,0,0,HM
5,10/01/2022 07:59,0,0,1,0,0,HM
5,10/01/2022 08:59,0,0,1,0,0,HM
5,10/01/2022 09:59,0,0,1,0,0,HM
5,10/01/2022 10:59,0,0,1,0,0,HM
5,10/01/2022 11:59,0,0,1,0,0,HM
5,10/01/2022 12:59,0,0,1,0,0,HM
5,10/01/2022 13:59,0,0,0,1,1,HM
5,10/01/2022 14:59,0,0,1,0,0,HM
5,10/01/2022 15:59,0,0,0,8,1,HM
5,10/01/2022 16:59,0,0,1,0,0,HM
5,10/01/2022 17:59,1,1,0,0,0,HM
5,10/01/2022 18:59,0,0,0,1,1,HM
5,10/01/2022 19:59,0,0,0,1,1,HM
5,10/01/2022 20:59,1,1,1,1,1,HM
5,10/01/2022 21:59,0,0,0,1,1,HM
5,10/01/2022 22:59,0,0,0,4,1,HM
5,10/01/2022 23:59,0,0,1,0,0,HM
5,11/01/2022 00:59,0,0,1,0,0,HM
5,11/01/2022 01:59,0,0,0,2,1,HM
5,11/01/2022 02:59,0,0,1,0,0,HM
5,11/01/2022 03:59,3,1,0,0,0,HM
5,11/01/2022 04:59,6,1,1,8,1,HM
5,11/01/2022 05:59,12,1,1,7,1,HM
5,11/01/2022 06:59,1,1,1,23,1,HM
5,11/01/2022 07:59,1,1,1,6,1,HM
5,11/01/2022 08:59,10,1,1,1,1,HM
5,11/01/2022 09:59,3,1,1,16,1,HM
5,11/01/2022 10:59,5,1,1,4,1,HM
5,11/01/2022 11:59,2,1,1,5,1,HM
5,11/01/2022 12:59,0,0,0,1,1,HM
5,11/01/2022 13:59,0,0,0,2,1,HM
5,11/01/2022 14:59,1,1,0,0,0,HM
5,11/01/2022 15:59,1,1,1,2,1,HM
5,11/01/2022 16:59,0,0,1,0,0,HM
5,11/01/2022 17:59,6,1,0,0,0,HM
5,11/01/2022 18:59,5,1,1,10,1,HM
5,11/01/2022 19:59,1,1,1,8,1,HM
5,11/01/2022 20:59,0,0,0,3,1,HM
5,11/01/2022 21:59,0,0,1,0,0,HM
5,11/01/2022 22:59,0,0,1,0,0,HM
5,11/01/2022 23:59,0,0,0,1,1,HM
5,12/01/2022 00:59,0,0,0,2,1,HM
5,12/01/2022 01:59,0,0,0,1,1,HM
5,12/01/2022 02:59,8,1,0,0,0,HM
5,12/01/2022 03:59,1,1,1,13,1,HM
5,12/01/2022 04:59,8,1,0,0,0,HM
5,12/01/2022 05:59,5,1,1,14,1,HM
5,12/01/2022 06:59,1,1,1,7,1,HM
5,12/01/2022 07:59,1,1,0,0,0,HM
5,12/01/2022 08:59,0,0,0,3,1,HM
5,12/01/2022 09:59,0,0,1,0,0,HM
5,12/01/2022 10:59,0,0,1,0,0,HM
5,12/01/2022 11:59,2,1,1,5,1,HM
5,12/01/2022 12:59,0,0,0,1,1,HM
5,12/01/2022 13:59,0,0,1,0,0,HM
