Deployment,datetime,day,month,year,DPH,DPD,POD
3,17/06/2021,17,6,2021,4,1,C
3,18/06/2021,18,6,2021,6,1,C
3,19/06/2021,19,6,2021,2,1,C
3,20/06/2021,20,6,2021,7,1,C
3,21/06/2021,21,6,2021,0,0,C
3,22/06/2021,22,6,2021,5,1,C
3,23/06/2021,23,6,2021,2,1,C
3,24/06/2021,24,6,2021,1,1,C
3,25/06/2021,25,6,2021,2,1,C
3,26/06/2021,26,6,2021,4,1,C
3,27/06/2021,27,6,2021,2,1,C
3,28/06/2021,28,6,2021,4,1,C
3,29/06/2021,29,6,2021,6,1,C
3,30/06/2021,30,6,2021,4,1,C
3,01/07/2021,1,7,2021,6,1,C
3,02/07/2021,2,7,2021,2,1,C
3,03/07/2021,3,7,2021,5,1,C
3,04/07/2021,4,7,2021,3,1,C
3,05/07/2021,5,7,2021,3,1,C
3,06/07/2021,6,7,2021,7,1,C
3,07/07/2021,7,7,2021,3,1,C
3,08/07/2021,8,7,2021,6,1,C
3,09/07/2021,9,7,2021,5,1,C
3,10/07/2021,10,7,2021,9,1,C
3,11/07/2021,11,7,2021,11,1,C
3,12/07/2021,12,7,2021,13,1,C
3,13/07/2021,13,7,2021,8,1,C
3,14/07/2021,14,7,2021,12,1,C
4,15/07/2021,15,7,2021,14,1,C
4,16/07/2021,16,7,2021,11,1,C
4,17/07/2021,17,7,2021,8,1,C
4,18/07/2021,18,7,2021,9,1,C
4,19/07/2021,19,7,2021,10,1,C
4,20/07/2021,20,7,2021,8,1,C
4,21/07/2021,21,7,2021,4,1,C
4,22/07/2021,22,7,2021,8,1,C
4,23/07/2021,23,7,2021,18,1,C
4,24/07/2021,24,7,2021,12,1,C
4,25/07/2021,25,7,2021,6,1,C
4,26/07/2021,26,7,2021,8,1,C
4,27/07/2021,27,7,2021,7,1,C
4,28/07/2021,28,7,2021,8,1,C
4,29/07/2021,29,7,2021,14,1,C
4,30/07/2021,30,7,2021,12,1,C
4,31/07/2021,31,7,2021,5,1,C
4,01/08/2021,1,8,2021,5,1,C
4,02/08/2021,2,8,2021,5,1,C
4,03/08/2021,3,8,2021,5,1,C
4,04/08/2021,4,8,2021,0,0,C
4,05/08/2021,5,8,2021,7,1,C
4,06/08/2021,6,8,2021,2,1,C
4,07/08/2021,7,8,2021,6,1,C
4,08/08/2021,8,8,2021,13,1,C
4,09/08/2021,9,8,2021,17,1,C
4,10/08/2021,10,8,2021,13,1,C
4,11/08/2021,11,8,2021,13,1,C
4,12/08/2021,12,8,2021,10,1,C
4,13/08/2021,13,8,2021,6,1,C
4,14/08/2021,14,8,2021,9,1,C
4,15/08/2021,15,8,2021,12,1,C
4,16/08/2021,16,8,2021,10,1,C
4,17/08/2021,17,8,2021,13,1,C
4,18/08/2021,18,8,2021,18,1,C
4,19/08/2021,19,8,2021,12,1,C
4,20/08/2021,20,8,2021,14,1,C
4,21/08/2021,21,8,2021,9,1,C
4,22/08/2021,22,8,2021,18,1,C
4,23/08/2021,23,8,2021,13,1,C
4,24/08/2021,24,8,2021,17,1,C
4,25/08/2021,25,8,2021,14,1,C
4,26/08/2021,26,8,2021,9,1,C
4,27/08/2021,27,8,2021,8,1,C
4,28/08/2021,28,8,2021,8,1,C
4,29/08/2021,29,8,2021,1,1,C
4,30/08/2021,30,8,2021,3,1,C
4,31/08/2021,31,8,2021,2,1,C
4,01/09/2021,1,9,2021,4,1,C
4,02/09/2021,2,9,2021,1,1,C
4,03/09/2021,3,9,2021,4,1,C
4,04/09/2021,4,9,2021,3,1,C
4,05/09/2021,5,9,2021,1,1,C
4,06/09/2021,6,9,2021,6,1,C
4,07/09/2021,7,9,2021,5,1,C
4,08/09/2021,8,9,2021,6,1,C
